Abilene 38.92203 -97.2667
Andover 37.68684 -97.1658
Anthony 37.15752 -98.0729
Argonia 37.26702 -97.7727
Attica 37.24213 -98.2352
Augusta 37.69133 -97.0537
Bluff_City 37.07608 -97.8793
Caldwell 37.03467 -97.6179
Cheney 37.63288 -97.7894
Clearwater 37.5167 -97.5325
Coldwater 37.25749 -99.3549
Derby 37.55171 -97.2868
El_Dorado 37.8099 -96.8943
Emporia 38.3793 -96.2615
Florence 38.24347 -96.9379
Greensburg 37.60507 -99.3006
Harper 37.28522 -98.0368
Haven 37.90205 -97.7927
Hays 38.88509 -99.3262
Hillsboro 38.34946 -97.2156
Hutchinson 38.05721 -97.9415
Junction_City39.03793 -96.8799
Kingman 37.64809 -98.1694
Kiowa 37.0191 -98.4941
Leon 37.68926 -96.7917
Lyons 38.34772 -98.2217
Manhattan 39.1682 -96.6901
Marion 38.35898 -97.0267
Mayfield 37.26187 -97.5509
McPherson 38.37043 -97.6918
Medicine_Lodge37.28556 -98.5888
Mulvane 37.48687 -97.2576
Newton 38.03537 -97.4239
Oxford 37.2734 -97.1777
Pratt 37.67534 -98.7769
Rago 37.45279 -98.0905
Salina 38.82543 -97.7023
Sawyer 37.49726 -98.6881
South_Haven37.04979 -97.4052
Topeka 39.01303 -95.7782
Towanda 37.79714 -97.0063
Viola 37.48276 -97.6496
Wellington 37.2692 -97.52
Wichita 37.66453 -97.5841
Winfield 37.28442 -96.9998
Zenda 37.44472 -98.2849
